TEAM_ID,TEAM_NAME,SEASON,RA_FGM,RA_FGA,PT_FGM,PT_FGA,MR_FGM,MR_FGA,AB_FGM,AB_FGA,CN_FGM,CN_FGA
1610612763,Memphis Grizzlies,2018,1386,2321,349,989,522,1328,606,1697,150,427
1610612748,Miami Heat,2018,1424,2241,418,1067,439,1184,645,1819,258,669
1610612749,Milwaukee Bucks,2018,1526,2365,416,1006,598,1415,495,1463,222,546
1610612750,Minnesota Timberwolves,2018,1390,2108,628,1402,690,1712,482,1388,175,441
1610612740,New Orleans Pelicans,2018,1573,2419,575,1246,516,1267,607,1719,229,576
1610612752,New York Knicks,2018,1384,2210,531,1219,746,1849,514,1504,159,391
1610612760,Oklahoma City Thunder,2018,1496,2423,305,763,592,1547,649,1852,229,615
1610612753,Orlando Magic,2018,1398,2132,471,1281,470,1230,678,1938,164,451
1610612755,Philadelphia 76ers,2018,1488,2215,447,1204,513,1235,747,2033,154,391
1610612756,Phoenix Suns,2018,1469,2444,420,1113,501,1297,581,1767,182,504
1610612757,Portland Trail Blazers,2018,1320,2273,445,1100,612,1451,682,1880,163,424
1610612758,Sacramento Kings,2018,1218,1969,566,1465,660,1670,561,1511,174,423
1610612759,San Antonio Spurs,2018,1295,2029,500,1251,713,1746,503,1482,191,475
1610612761,Toronto Raptors,2018,1542,2374,452,1079,423,1016,694,1991,271,690
1610612762,Utah Jazz,2018,1411,2190,408,1086,434,1098,597,1717,289,692
1610612764,Washington Wizards,2018,1239,1940,494,1172,728,1737,648,1717,166,436
1610612737,Atlanta Hawks,2019,1676,2744,421,1113,231,636,748,2203,316,808
1610612738,Boston Celtics,2019,1371,2129,465,1089,583,1378,822,2218,210,602
1610612751,Brooklyn Nets,2019,1548,2528,451,1200,261,672,822,2357,218,587
1610612766,Charlotte Hornets,2019,1440,2424,478,1169,402,989,743,2172,232,571
1610612741,Chicago Bulls,2019,1503,2503,579,1394,441,1190,548,1618,195,486
1610612739,Cleveland Cavaliers,2019,1322,2214,502,1303,519,1281,655,1851,191,524
1610612742,Dallas Mavericks,2019,1405,2163,421,1078,334,882,786,2362,235,611
1610612743,Denver Nuggets,2019,1504,2377,634,1463,404,983,690,2025,206,519
1610612765,Detroit Pistons,2019,1387,2284,451,1219,355,883,703,2064,289,759
1610612744,Golden State Warriors,2019,1381,2038,392,896,752,1604,837,2221,248,583
1610612745,Houston Rockets,2019,1381,2166,345,885,171,396,975,2773,345,935
1610612754,Indiana Pacers,2019,1552,2489,451,1058,609,1510,561,1564,216,504
1610612746,LA Clippers,2019,1543,2548,558,1363,464,1156,626,1627,193,468
1610612747,Los Angeles Lakers,2019,1899,2938,381,1034,364,915,650,1961,197,566
1610612763,Memphis Grizzlies,2019,1340,2166,560,1369,403,1021,603,1778,207,576
1610612748,Miami Heat,2019,1499,2395,507,1271,317,898,653,1910,274,728
1610612749,Milwaukee Bucks,2019,1850,2793,335,861,265,686,863,2489,242,634
1610612750,Minnesota Timberwolves,2019,1515,2410,515,1310,561,1414,615,1794,207,540
1610612740,New Orleans Pelicans,2019,1762,2723,625,1441,358,958,650,1898,186,531
1610612752,New York Knicks,2019,1423,2456,383,1027,508,1344,670,1972,150,435
1610612760,Oklahoma City Thunder,2019,1722,2785,402,1087,442,1162,658,1930,271,721
