TEAM_ID,TEAM_NAME,SEASON,POSS,PASSES_MADE,POTENTIAL_AST,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,pct_PTS_DRIVE,pct_PTS_CS,pct_PTS_PU,pct_PTS_POST
1610612737,Atlanta Hawks,2016,8059,26615,4197,2.72,2.01,0.1887821653029764,0.31554606901458554,0.12783113957073403,0.05348037471836831
1610612738,Boston Celtics,2016,8191,25653,4120,2.69,1.99,0.1879602571595558,0.25844535359438925,0.1542957334891876,0.042898889538281706
1610612751,Brooklyn Nets,2016,7903,23922,3830,3.07,2.4,0.16244282358758808,0.24613672889108665,0.15873408332303127,0.09605637285202126
1610612766,Charlotte Hornets,2016,7966,24309,3876,3.04,2.43,0.17950229979950466,0.3026300271258403,0.1732515626842788,0.058615402759759405
1610612741,Chicago Bulls,2016,8008,25228,3794,2.91,2.09,0.19832033593281342,0.2890221955608878,0.16532693461307738,0.0704259148170366
1610612739,Cleveland Cavaliers,2016,7764,24277,3642,3.13,2.34,0.16867329047340737,0.28416130917592053,0.17849210987726477,0.06709526592635885
1610612742,Dallas Mavericks,2016,7950,27058,3939,2.9,2.17,0.18407248450166905,0.31092036242250837,0.16714353838817358,0.07021936099189319
1610612743,Denver Nuggets,2016,7963,23797,3837,3.1,2.37,0.16193895870736086,0.23734290843806105,0.1552363853979653,0.05972471573907839
1610612765,Detroit Pistons,2016,7942,21590,3423,3.28,2.61,0.19268030139935413,0.23681377825618946,0.1951919626838895,0.07235976557828011
1610612744,Golden State Warriors,2016,8303,26528,4448,2.6,1.86,0.13576053497505572,0.30177263560131623,0.18809043625942046,0.04946396348582953
1610612745,Houston Rockets,2016,8139,23556,3806,2.93,2.1,0.17969554767082524,0.24642325741101065,0.15028041661897676,0.043722101407805886
1610612754,Indiana Pacers,2016,8068,24915,3932,2.98,2.1,0.14372687119493852,0.259042616688552,0.18813417691297601,0.05419601289244359
1610612746,LA Clippers,2016,7995,23587,3757,3.11,2.37,0.15836153576846773,0.26735908507410433,0.224763683043529,0.03034193021356051
1610612747,Los Angeles Lakers,2016,7930,22469,3170,3.27,2.29,0.1845402154848409,0.22062139814582812,0.23026810323227262,0.05687797544475069
1610612763,Memphis Grizzlies,2016,7763,25121,3599,3.07,2.24,0.17622446468127,0.24452375092296333,0.14090573467880876,0.12109278857986709
1610612748,Miami Heat,2016,7779,24429,3545,3.14,2.44,0.21392003900536324,0.2380546075085324,0.15175524134568502,0.06764992686494394
1610612749,Milwaukee Bucks,2016,7858,23733,3676,3.05,2.14,0.18382171878847575,0.19896577197734547,0.13223344003939916,0.08384634326520561
1610612750,Minnesota Timberwolves,2016,7965,23077,3881,3.16,2.36,0.16361038342462492,0.2251726601571803,0.14860681114551083,0.09347463681829007
1610612740,New Orleans Pelicans,2016,8041,23988,3534,2.97,2.31,0.20574617119791047,0.23958209664015195,0.20420277810756263,0.05936127270568681
1610612752,New York Knicks,2016,7763,28011,3837,2.75,1.84,0.12101673899566026,0.2977061376317421,0.19107253564786114,0.13453192808431494
1610612760,Oklahoma City Thunder,2016,8061,21042,3843,3.25,2.51,0.16319982296968355,0.24076123036069927,0.1847753927860146,0.05045364018588183
1610612753,Orlando Magic,2016,8018,24760,3977,2.94,2.25,0.18388579724171303,0.30316961045245583,0.1380353254294701,0.06944108395838373
1610612755,Philadelphia 76ers,2016,8119,27005,3854,2.85,2.29,0.20105157736604906,0.2791687531296945,0.13345017526289435,0.06059088632949424
1610612756,Phoenix Suns,2016,8152,25455,3875,2.83,2.09,0.1672107363075807,0.26623141095393543,0.16902430177729416,0.06444202635715149
1610612757,Portland Trail Blazers,2016,8012,23107,3713,3.24,2.53,0.1871955462769659,0.2643238227789376,0.22349802829969845,0.020296914868939923
1610612758,Sacramento Kings,2016,8302,22948,4077,3,2.29,0.17551776003702418,0.24320259169269928,0.129237533263913,0.05773458289945621
1610612759,San Antonio Spurs,2016,7767,26947,3768,2.88,2.21,0.16042402826855123,0.2703180212014134,0.17608951707891637,0.12402826855123675
1610612761,Toronto Raptors,2016,7707,24579,3149,3.16,2.53,0.24903799903799903,0.24735449735449735,0.16630591630591632,0.042688792688792686
1610612762,Utah Jazz,2016,7625,28886,3631,2.85,2.07,0.2128589263420724,0.25143570536828963,0.18202247191011237,0.03283395755305868
1610612764,Washington Wizards,2016,8163,24167,4108,2.87,2.09,0.15713616123740332,0.28497773611436605,0.17166627607218185,0.048277478322006094
1610612737,Atlanta Hawks,2017,8091,25421,3838,2.85,2.06,0.19399456200496512,0.26516136659179573,0.16124837451235371,0.05508925404894195
1610612738,Boston Celtics,2017,8005,26621,4031,2.78,2.07,0.18764818787399798,0.2985209438861917,0.15705092017613187,0.05385570735011855
1610612751,Brooklyn Nets,2017,8371,25195,3678,2.76,2.07,0.22254638814330727,0.2706266775586416,0.13233749562376007,0.0700198389543704
1610612766,Charlotte Hornets,2017,7934,23876,3921,3.04,2.4,0.19544239041971864,0.2615974886641088,0.20113940239507033,0.04534356470177886
1610612741,Chicago Bulls,2017,7919,24970,3709,2.95,2.13,0.1933609958506224,0.24754001185536456,0.17486662714878481,0.07516301126259632
1610612739,Cleveland Cavaliers,2017,8019,22573,3696,3.19,2.35,0.1773872679045093,0.3020557029177719,0.1896551724137931,0.048519009725906274
1610612742,Dallas Mavericks,2017,7668,24040,3593,3.24,2.46,0.19454269833249116,0.3198585144012127,0.22549267306720566,0.0622789287518949
1610612743,Denver Nuggets,2017,8167,24002,3851,2.97,2.18,0.18224143664782175,0.2718102205963862,0.13468573328899236,0.06540294867531316
