TEAM_ID,TEAM_NAME,SEASON,GP,W,L,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,AST,TOV,PFD,PTS,OFF_RATING,PACE
1610612752,New York Knicks,2017,82,31,51,3244,7256,704,2022,1364,1731,983,1786,1139,1516,8556,107.1,96.63
1610612760,Oklahoma City Thunder,2017,82,47,35,3237,7169,692,2116,1575,2113,1002,1721,1230,1697,8741,107.9,98.18
1610612753,Orlando Magic,2017,82,29,53,3139,7133,701,2139,1309,1753,807,1820,1091,1532,8288,103.7,96.9
1610612755,Philadelphia 76ers,2017,82,28,54,3088,6992,831,2443,1393,1806,807,1949,1366,1610,8400,102.7,99.07
1610612756,Phoenix Suns,2017,82,24,58,3270,7260,615,1854,1676,2159,976,1604,1265,1822,8831,106.1,100.85
1610612757,Portland Trail Blazers,2017,82,41,41,3243,7059,852,2272,1513,1940,830,1733,1126,1624,8851,109.4,97.38
1610612758,Sacramento Kings,2017,82,32,50,3105,6734,737,1960,1483,1913,715,1844,1201,1646,8430,106.6,95.42
1610612759,San Antonio Spurs,2017,82,61,21,3222,6864,753,1927,1440,1806,821,1954,1101,1623,8637,110.3,94.86
1610612761,Toronto Raptors,2017,82,51,31,3211,6918,725,1996,1615,2028,871,1517,1041,1666,8762,111.4,95.41
1610612762,Utah Jazz,2017,82,51,31,3033,6515,791,2128,1401,1875,771,1651,1118,1655,8258,109,92.09
1610612764,Washington Wizards,2017,82,49,33,3388,7137,756,2030,1421,1812,843,1956,1162,1621,8953,110.4,97.94
1610612737,Atlanta Hawks,2018,82,24,58,3130,7015,917,2544,1298,1654,743,1946,1274,1661,8475,104.4,98.76
1610612738,Boston Celtics,2018,82,55,27,3141,6975,939,2492,1308,1697,767,1842,1148,1571,8529,106.8,96.75
1610612751,Brooklyn Nets,2018,82,28,54,3136,7114,1041,2924,1428,1850,792,1941,1245,1615,8741,106.1,99.66
1610612766,Charlotte Hornets,2018,82,36,46,3197,7106,824,2233,1656,2216,827,1770,1041,1839,8874,109,98.66
1610612741,Chicago Bulls,2018,82,27,55,3170,7285,906,2549,1194,1574,790,1923,1147,1425,8440,103.4,98.65
1610612739,Cleveland Cavaliers,2018,82,50,32,3311,6950,981,2636,1488,1909,694,1916,1126,1696,9091,112,98.72
1610612742,Dallas Mavericks,2018,82,24,58,3128,7042,967,2688,1167,1530,666,1858,1007,1604,8390,105.4,96.53
1610612743,Denver Nuggets,2018,82,46,36,3338,7102,940,2536,1404,1830,902,2059,1226,1699,9020,111.4,97.69
1610612765,Detroit Pistons,2018,82,39,43,3208,7129,886,2373,1207,1621,830,1868,1102,1511,8509,106.6,96.75
1610612744,Golden State Warriors,2018,82,58,24,3509,6979,926,2369,1360,1668,691,2402,1265,1516,9304,112.8,100.35
1610612745,Houston Rockets,2018,82,65,17,3174,6906,1256,3470,1609,2061,739,1767,1135,1670,9213,114.1,98.02
1610612754,Indiana Pacers,2018,82,48,34,3345,7083,741,2010,1225,1573,788,1819,1088,1514,8656,108.5,96.84
1610612746,LA Clippers,2018,82,42,40,3302,7004,777,2196,1556,2095,832,1832,1204,1803,8937,109.4,99.54
1610612747,Los Angeles Lakers,2018,82,35,47,3338,7248,822,2384,1364,1910,876,1949,1295,1679,8862,106,100.9
1610612763,Memphis Grizzlies,2018,82,22,60,3013,6788,758,2152,1361,1732,779,1767,1227,1674,8145,103.6,95.65
1610612748,Miami Heat,2018,82,44,38,3184,6997,903,2506,1209,1601,763,1862,1178,1587,8480,106.2,96.1
1610612749,Milwaukee Bucks,2018,82,44,38,3257,6807,718,2024,1499,1915,688,1905,1135,1633,8731,109,97.03
1610612750,Minnesota Timberwolves,2018,82,47,35,3365,7063,658,1845,1592,1980,848,1861,1021,1710,8980,112.5,96.75
1610612740,New Orleans Pelicans,2018,82,48,34,3500,7241,837,2312,1324,1716,712,2195,1223,1669,9161,108.5,101.48
1610612752,New York Knicks,2018,82,29,53,3334,7193,673,1914,1225,1557,859,1912,1208,1509,8566,106.3,97.64
1610612760,Oklahoma City Thunder,2018,82,48,34,3271,7221,881,2491,1421,1985,1024,1750,1147,1750,8844,110.1,97.34
1610612753,Orlando Magic,2018,82,25,57,3182,7042,844,2405,1271,1678,722,1921,1192,1556,8479,104.7,98.58
1610612755,Philadelphia 76ers,2018,82,52,30,3349,7098,901,2445,1405,1868,893,2221,1353,1670,9004,108.5,100.75
1610612756,Phoenix Suns,2018,82,21,61,3153,7141,763,2286,1453,1962,842,1743,1289,1715,8522,102.8,101.14
1610612757,Portland Trail Blazers,2018,82,49,33,3222,7132,845,2308,1372,1715,835,1599,1109,1564,8661,108.4,97.11
1610612758,Sacramento Kings,2018,82,27,55,3179,7063,738,1967,1008,1371,776,1768,1125,1422,8104,103.1,95.5
1610612759,San Antonio Spurs,2018,82,47,35,3202,6999,696,1977,1324,1715,849,1868,1078,1619,8424,107.1,95.7
1610612761,Toronto Raptors,2018,82,59,23,3383,7169,968,2705,1422,1790,800,1995,1095,1633,9156,113,98.02
1610612762,Utah Jazz,2018,82,48,34,3139,6797,887,2425,1375,1766,740,1839,1205,1683,8540,107.4,96.58
1610612764,Washington Wizards,2018,82,43,39,3275,7018,814,2173,1378,1786,823,2065,1196,1639,8742,108.1,97.67
1610612737,Atlanta Hawks,2019,82,29,53,3392,7524,1067,3034,1443,1918,955,2118,1397,1817,9294,107.5,104.56
1610612738,Boston Celtics,2019,82,49,33,3451,7423,1032,2829,1282,1598,804,2155,1052,1602,9216,111.3,100.43
1610612751,Brooklyn Nets,2019,82,42,40,3301,7358,1047,2965,1555,2088,900,1954,1236,1807,9204,108.9,101.52
1610612766,Charlotte Hornets,2019,82,39,43,3297,7362,977,2783,1510,1895,814,1905,1001,1686,9081,110.7,99.18
1610612741,Chicago Bulls,2019,82,22,60,3266,7205,745,2123,1328,1695,718,1796,1159,1534,8605,104.5,99.3
1610612739,Cleveland Cavaliers,2019,82,19,63,3189,7184,847,2388,1342,1694,879,1698,1106,1592,8567,106.8,97.37
1610612742,Dallas Mavericks,2019,82,33,49,3182,7122,1022,3002,1541,2076,832,1918,1167,1905,8927,108.7,99.6
1610612743,Denver Nuggets,2019,82,54,28,3439,7384,903,2571,1294,1714,972,2245,1102,1675,9075,112.1,98.49
1610612765,Detroit Pistons,2019,82,41,41,3185,7238,993,2854,1415,1893,936,1845,1135,1748,8778,108.4,97.88
1610612744,Golden State Warriors,2019,82,57,25,3612,7361,1087,2824,1339,1672,797,2413,1169,1601,9650,115,101.74
1610612745,Houston Rockets,2019,82,53,29,3218,7163,1323,3721,1582,2001,836,1741,1094,1640,9341,114.9,98.39
1610612754,Indiana Pacers,2019,82,48,34,3390,7135,779,2081,1298,1727,762,2128,1122,1642,8857,109.4,98.64
1610612746,LA Clippers,2019,82,48,34,3384,7178,821,2118,1853,2340,796,1970,1193,1969,9442,111.4,102.66
1610612747,Los Angeles Lakers,2019,82,37,45,3491,7425,847,2541,1336,1910,835,2096,1284,1706,9165,107.4,103.6
1610612763,Memphis Grizzlies,2019,82,33,49,3113,6924,811,2368,1453,1882,723,1963,1147,1758,8490,105.6,97.15
1610612748,Miami Heat,2019,82,39,43,3251,7218,928,2658,1238,1782,921,1991,1208,1652,8668,106.7,98.73
1610612749,Milwaukee Bucks,2019,82,60,22,3555,7471,1105,3134,1471,1904,762,2136,1137,1653,9686,113.5,103.57
1610612750,Minnesota Timberwolves,2019,82,36,46,3413,7483,827,2357,1570,1995,923,2018,1074,1795,9223,110.6,100.88
1610612740,New Orleans Pelicans,2019,82,33,49,3581,7563,842,2449,1462,1921,909,2216,1215,1722,9466,110.7,103.89
1610612752,New York Knicks,2019,82,17,65,3134,7241,823,2421,1484,1956,857,1646,1151,1708,8575,104,100.16
1610612760,Oklahoma City Thunder,2019,82,49,33,3497,7706,932,2677,1461,2049,1031,1917,1145,1844,9387,109.8,103.38
1610612753,Orlando Magic,2019,82,42,40,3316,7307,937,2633,1231,1575,822,2095,1082,1537,8800,108.2,98.65
1610612755,Philadelphia 76ers,2019,82,51,31,3407,7233,889,2474,1742,2258,892,2207,1223,1816,9445,111.6,102.59
1610612756,Phoenix Suns,2019,82,19,63,3289,7164,790,2400,1447,1858,748,1957,1279,1694,8815,105.3,101.15
1610612757,Portland Trail Blazers,2019,82,53,29,3470,7427,904,2520,1558,1914,967,1887,1135,1699,9402,113.7,99.96
1610612758,Sacramento Kings,2019,82,39,43,3541,7637,927,2455,1354,1865,906,2083,1095,1753,9363,109.6,103.88
1610612759,San Antonio Spurs,2019,82,48,34,3468,7248,812,2071,1408,1720,757,2013,992,1611,9156,112.2,98.88
1610612761,Toronto Raptors,2019,82,58,24,3460,7305,1015,2771,1449,1803,786,2085,1150,1683,9384,112.6,100.51
1610612762,Utah Jazz,2019,82,50,32,3314,7082,993,2789,1540,2092,820,2133,1240,1835,9161,110.3,100.84
1610612764,Washington Wizards,2019,82,32,50,3456,7387,930,2731,1508,1963,794,2154,1154,1741,9350,110.2,102.23
1610612737,Atlanta Hawks,2020,67,20,47,2723,6067,805,2416,1237,1566,661,1605,1086,1404,7488,107,103.28
1610612738,Boston Celtics,2020,72,48,24,2971,6448,905,2487,1336,1668,768,1655,995,1487,8183,112.8,99.92
1610612751,Brooklyn Nets,2020,72,35,37,2908,6498,941,2746,1291,1732,766,1761,1099,1521,8048,108.7,101.7
1610612766,Charlotte Hornets,2020,65,23,42,2425,5586,785,2231,1052,1406,715,1549,949,1337,6687,105.9,96.24
1610612741,Chicago Bulls,2020,65,22,43,2573,5762,793,2282,1006,1332,680,1510,1005,1246,6945,105.8,100.46
1610612739,Cleveland Cavaliers,2020,65,19,46,2619,5715,727,2070,983,1296,704,1500,1073,1277,6948,106.9,99.17
1610612742,Dallas Mavericks,2020,75,43,32,3124,6772,1136,3095,1392,1787,791,1849,953,1601,8776,115.9,99.89
1610612743,Denver Nuggets,2020,73,46,27,3069,6488,801,2234,1185,1526,786,1952,1005,1494,8124,112.6,97.64
1610612765,Detroit Pistons,2020,66,20,46,2595,5658,791,2157,1097,1476,644,1589,1008,1308,7078,108.8,97.86
1610612744,Golden State Warriors,2020,65,15,50,2510,5730,678,2032,1214,1511,647,1663,969,1308,6912,104.4,101.04
1610612745,Houston Rockets,2020,72,44,28,2936,6512,1126,3261,1484,1876,704,1557,1057,1515,8482,112.5,104.04
1610612754,Indiana Pacers,2020,73,45,28,3075,6457,743,2046,1096,1393,636,1888,967,1373,7989,109.5,99.41
1610612746,LA Clippers,2020,72,49,23,2992,6425,895,2410,1498,1894,767,1708,1051,1647,8377,113.3,102.16
1610612747,Los Angeles Lakers,2020,71,52,19,3006,6269,782,2242,1260,1728,757,1803,1077,1544,8054,111.7,101.2
1610612763,Memphis Grizzlies,2020,73,34,39,3106,6634,798,2297,1212,1589,754,1965,1113,1474,8222,108.7,103.31
1610612748,Miami Heat,2020,73,44,29,2880,6160,979,2584,1440,1840,620,1892,1088,1584,8179,111.9,98.7
1610612749,Milwaukee Bucks,2020,73,56,17,3160,6638,1007,2840,1336,1800,691,1889,1102,1586,8663,111.9,105.51
1610612750,Minnesota Timberwolves,2020,64,19,45,2586,5865,853,2540,1223,1624,675,1525,981,1383,7248,107.6,103.94
1610612740,New Orleans Pelicans,2020,72,30,42,3065,6598,982,2656,1229,1687,797,1932,1181,1519,8341,110.5,103.89
1610612752,New York Knicks,2020,66,21,45,2638,5896,631,1872,1076,1550,795,1456,946,1305,6983,105.9,99.11
1610612760,Oklahoma City Thunder,2020,72,44,28,2879,6156,770,2171,1422,1787,593,1562,986,1641,7950,110.1,99.42
1610612753,Orlando Magic,2020,73,33,40,2871,6468,807,2354,1282,1656,751,1747,937,1420,7831,107.9,98.99
1610612755,Philadelphia 76ers,2020,73,43,30,3000,6417,848,2307,1236,1638,764,1884,1037,1493,8084,110.7,99.59
1610612756,Phoenix Suns,2020,73,34,39,3006,6429,831,2320,1451,1740,712,1987,1077,1653,8294,111.3,101.74
1610612757,Portland Trail Blazers,2020,74,35,39,3122,6749,952,2525,1312,1632,754,1525,946,1488,8508,113.2,101.17
1610612758,Sacramento Kings,2020,72,31,41,2943,6364,914,2511,1127,1464,695,1713,1043,1404,7927,109.5,99.6
1610612759,San Antonio Spurs,2020,71,32,39,2995,6350,760,2021,1348,1664,640,1751,895,1424,8098,111.7,101.14
1610612761,Toronto Raptors,2020,72,53,19,2897,6331,995,2663,1329,1670,685,1816,1067,1466,8118,110.8,101.19
1610612762,Utah Jazz,2020,72,44,28,2886,6130,963,2537,1278,1641,656,1615,1089,1501,8013,111.8,99.15
1610612764,Washington Wizards,2020,72,25,47,2990,6544,864,2345,1394,1770,732,1801,1020,1601,8238,110.2,103.38
1610612737,Atlanta Hawks,2021,72,41,31,2937,6281,895,2402,1417,1745,760,1737,953,1422,8186,114.3,98.68
1610612738,Boston Celtics,2021,72,36,36,2985,6401,979,2618,1160,1496,765,1689,1012,1389,8109,113.1,98.94
1610612751,Brooklyn Nets,2021,72,48,24,3106,6289,1020,2600,1305,1623,640,1929,975,1361,8537,117.3,100.27
1610612766,Charlotte Hornets,2021,72,33,39,2875,6324,985,2666,1146,1505,762,1933,1069,1340,7881,110.1,99
1610612741,Chicago Bulls,2021,72,31,41,3035,6380,904,2446,995,1258,693,1927,1089,1277,7969,110.4,99.58
1610612739,Cleveland Cavaliers,2021,72,22,50,2778,6175,720,2141,1200,1614,751,1716,1114,1451,7476,105.2,97.96
1610612742,Dallas Mavericks,2021,72,42,30,2958,6287,994,2744,1186,1524,657,1647,869,1446,8096,114.6,97.94
1610612743,Denver Nuggets,2021,72,47,25,3114,6422,927,2462,1129,1406,758,1933,972,1379,8284,116.3,97.74
1610612765,Detroit Pistons,2021,72,20,52,2783,6162,832,2370,1278,1683,694,1743,1075,1469,7676,107.6,98.19
1610612744,Golden State Warriors,2021,72,39,33,2973,6347,1048,2789,1193,1520,574,1991,1080,1406,8187,110.5,102.81
1610612745,Houston Rockets,2021,72,17,55,2826,6372,992,2923,1189,1606,671,1699,1060,1388,7833,107,101.69
1610612754,Indiana Pacers,2021,72,34,38,3115,6567,889,2445,1183,1493,648,1973,975,1306,8302,111.9,102.05
1610612746,LA Clippers,2021,72,47,25,3009,6242,1027,2498,1164,1387,678,1756,949,1303,8209,116.7,97.63
1610612747,Los Angeles Lakers,2021,72,42,30,2925,6197,796,2248,1241,1679,695,1775,1095,1530,7887,109.8,98.85
1610612763,Memphis Grizzlies,2021,72,38,34,3085,6608,803,2258,1184,1536,803,1938,957,1318,8157,111.7,100.77
1610612748,Miami Heat,2021,72,40,32,2824,6029,932,2606,1201,1520,579,1895,1013,1414,7781,110.6,97.09
1610612749,Milwaukee Bucks,2021,72,46,26,3221,6610,1038,2669,1169,1539,741,1834,995,1320,8649,116.5,102.85
1610612750,Minnesota Timberwolves,2021,72,23,49,2932,6546,944,2706,1265,1662,757,1846,1027,1432,8073,109.3,101.96
1610612740,New Orleans Pelicans,2021,72,31,41,3060,6412,762,2190,1369,1878,845,1872,1052,1534,8251,113,100.54
